P,rounds,bt_avg_lat_s,bt_min_lat_s,bt_max_lat_s,bt_avg_wait_s,bt_min_wait_s,bt_max_wait_s,bt_avg_lat_us,bt_min_lat_us,bt_max_lat_us,bt_avg_wait_us,bt_min_wait_us,bt_max_wait_us,bt_sends,bt_recvs,bt_total_msgs,diss_avg_lat_s,diss_min_lat_s,diss_max_lat_s,diss_avg_wait_s,diss_min_wait_s,diss_max_wait_s,diss_avg_lat_us,diss_min_lat_us,diss_max_lat_us,diss_avg_wait_us,diss_min_wait_us,diss_max_wait_us,diss_sends,diss_recvs,diss_total_msgs
2,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10000,2.758e-06,2.384e-06,4.3631e-05,-0.000137629,-0.00027585,0.000596762,2.758,2.384,43.631,-137.62900000000002,-275.85,596.7620000000001,2.0,2.0,4.0,1.898e-06,2.38e-07,8.4639e-05,-0.000469561,-0.000939608,0.000435591,1.8980000000000001,0.238,84.639,-469.56100000000004,-939.608,435.591,2.0,2.0,4.0
5,10000,3.39e-06,1.669e-06,0.002806902,-3.5501e-05,-0.000275612,0.002971411,3.39,1.669,2806.902,-35.501,-275.612,2971.411,4.0,4.0,8.0,2.84e-06,2.623e-06,4.6492e-05,-3.5868e-05,-0.000276089,0.001302719,2.84,2.623,46.492000000000004,-35.868,-276.089,1302.7189999999998,6.0,6.0,12.0
6,10000,6.587e-06,2.384e-06,0.000279903,-0.000527274,-0.002602339,0.002331495,6.587,2.384,279.903,-527.274,-2602.339,2331.495,6.0,6.0,12.0,3.339e-06,9.54e-07,1.8358e-05,0.00050097,4.77e-07,0.002654552,3.339,0.9540000000000001,18.358,500.96999999999997,0.47700000000000004,2654.552,8.0,8.0,16.0
7,10000,6.683e-06,3.338e-06,0.000226021,-0.000353818,-0.002605915,0.002836943,6.683,3.338,226.021,-353.818,-2605.915,2836.943,8.0,8.0,16.0,5.422e-06,3.099e-06,0.000302076,-3.3611e-05,-0.002170324,0.003463745,5.422,3.0989999999999998,302.076,-33.611,-2170.324,3463.745,15.0,15.0,30.0
8,10000,7.825e-06,4.768e-06,0.000337362,0.000111009,-0.002123117,0.003412247,7.825,4.768,337.362,111.009,-2123.1169999999997,3412.2470000000003,10.0,10.0,20.0,6.133e-06,3.099e-06,0.000197887,9.4046e-05,-0.000394583,0.002592087,6.133,3.0989999999999998,197.887,94.046,-394.583,2592.087,18.0,18.0,36.0
9,10000,7.803e-06,4.053e-06,0.000426769,0.000361629,-0.002127886,0.004336834,7.803,4.053,426.769,361.62899999999996,-2127.886,4336.834000000001,12.0,12.0,24.0,4.9e-06,4.053e-06,6.1512e-05,9.1235e-05,-7.8201e-05,0.002462149,4.8999999999999995,4.053,61.512,91.235,-78.20100000000001,2462.149,21.0,21.0,42.0
10,10000,8.439e-06,3.576e-06,0.000259161,0.000323175,1.192e-06,0.002894402,8.439,3.576,259.161,323.17499999999995,1.192,2894.402,14.0,14.0,28.0,4.73e-06,1.192e-06,0.00018692,7.2361e-05,-8.0109e-05,0.002623558,4.7299999999999995,1.192,186.92000000000002,72.36099999999999,-80.109,2623.558,24.0,24.0,48.0
11,10000,8.796e-06,4.292e-06,0.000211954,0.000322092,1.431e-06,0.003405571,8.796,4.292,211.954,322.092,1.4309999999999998,3405.571,16.0,16.0,32.0,6.636e-06,3.338e-06,0.002810478,0.000112393,-0.001345873,0.003480434,6.635999999999999,3.338,2810.478,112.393,-1345.873,3480.434,36.0,36.0,72.0
12,10000,9.821e-06,5.96e-06,0.000287771,0.000281393,-9.5367e-05,0.003497362,9.821,5.96,287.77099999999996,281.39300000000003,-95.36699999999999,3497.362,18.0,18.0,36.0,6.272e-06,3.338e-06,0.000187397,0.000284049,-9.1314e-05,0.003481627,6.272,3.338,187.39700000000002,284.049,-91.31400000000001,3481.627,40.0,40.0,80.0
